,Repository,Clone URL,Stars,Size,Mentionable Users,Commits,Language,Bus Factor,Execution time series
258,luong-komorebi/Awesome-Linux-Software,https://github.com/luong-komorebi/Awesome-Linux-Software.git,19294,5741,255,364,Python,0,0.0
259,apache/rocketmq,https://github.com/apache/rocketmq.git,19257,42549,474,1759,Java,0,0.0
260,iced-rs/iced,https://github.com/iced-rs/iced.git,19246,10097,156,1345,Rust,0,0.0
261,ueberdosis/tiptap,https://github.com/ueberdosis/tiptap.git,19084,34302,234,788,TypeScript,0,0.0
262,dotnet/core,https://github.com/dotnet/core.git,18898,28291,2349,556,PowerShell,0,0.0
263,facebookexperimental/Recoil,https://github.com/facebookexperimental/Recoil.git,18735,49403,103,319,JavaScript,0,0.0
264,AtsushiSakai/PythonRobotics,https://github.com/AtsushiSakai/PythonRobotics.git,18731,299071,100,188,Python,0,0.0
265,apollographql/apollo-client,https://github.com/apollographql/apollo-client.git,18712,75656,749,1308,TypeScript,0,0.0
266,helm/helm,https://github.com/helm/helm.git,24338,19940,606,478,Go,0,0.0
267,ShareX/ShareX,https://github.com/ShareX/ShareX.git,24319,63816,213,809,C#,0,0.0
268,zeromicro/go-zero,https://github.com/zeromicro/go-zero.git,24255,19847,209,976,Go,0,0.0
269,AykutSarac/jsoncrack.com,https://github.com/AykutSarac/jsoncrack.com.git,24159,12612,21,1105,TypeScript,0,0.0
270,dmlc/xgboost,https://github.com/dmlc/xgboost.git,24159,26601,583,792,C++,0,0.0
271,airbnb/lottie-ios,https://github.com/airbnb/lottie-ios.git,24023,209749,217,263,Swift,0,0.0
272,jaywcjlove/linux-command,https://github.com/jaywcjlove/linux-command.git,24015,2161277,136,310,Markdown,0,0.0
273,kataras/iris,https://github.com/kataras/iris.git,23965,16082,101,340,Go,0,0.0
274,fastai/fastai,https://github.com/fastai/fastai.git,23925,853920,225,809,Jupyter Notebook,0,0.0
275,swagger-api/swagger-ui,https://github.com/swagger-api/swagger-ui.git,23894,465227,511,360,JavaScript,0,0.0
276,bevyengine/bevy,https://github.com/bevyengine/bevy.git,23891,69504,686,2171,Rust,0,0.0
277,statelyai/xstate,https://github.com/statelyai/xstate.git,23854,157864,313,859,TypeScript,0,0.0
278,pnpm/pnpm,https://github.com/pnpm/pnpm.git,23769,134283,207,1250,TypeScript,0,0.0
279,emscripten-core/emscripten,https://github.com/emscripten-core/emscripten.git,23768,266782,717,2189,C,0,0.0
280,seata/seata,https://github.com/seata/seata.git,23766,14382,272,326,Java,0,0.0
281,alpinejs/alpine,https://github.com/alpinejs/alpine.git,23759,7336,230,320,HTML,0,0.0
282,mongodb/mongo,https://github.com/mongodb/mongo.git,23755,970591,769,11148,C++,0,0.0
283,TeamNewPipe/NewPipe,https://github.com/TeamNewPipe/NewPipe.git,23755,68262,788,1368,Java,0,0.0
284,OWASP/CheatSheetSeries,https://github.com/OWASP/CheatSheetSeries.git,23723,1310225,341,252,Python,0,0.0
285,sampotts/plyr,https://github.com/sampotts/plyr.git,23719,65827,180,103,JavaScript,0,0.0
286,vuejs/devtools,https://github.com/vuejs/devtools.git,23651,14787,174,328,TypeScript,0,0.0
287,signalapp/Signal-Android,https://github.com/signalapp/Signal-Android.git,23644,972490,306,3754,Java,0,0.0
288,XTLS/Xray-core,https://github.com/XTLS/Xray-core.git,14150,2930,82,327,Go,0,0.0
289,tc39/ecma262,https://github.com/tc39/ecma262.git,14123,341561,378,360,HTML,0,0.0
290,Foundry376/Mailspring,https://github.com/Foundry376/Mailspring.git,14121,115035,226,122,C,0,0.0
291,borisdayma/dalle-mini,https://github.com/borisdayma/dalle-mini.git,14112,18727,26,317,Python,0,0.0
292,scala/scala,https://github.com/scala/scala.git,14092,151232,572,1133,Scala,0,0.0
293,vulhub/vulhub,https://github.com/vulhub/vulhub.git,14055,166090,50,179,Dockerfile,0,0.0
294,umijs/umi,https://github.com/umijs/umi.git,14036,141902,429,2622,TypeScript,0,0.0
295,facebook/infer,https://github.com/facebook/infer.git,14036,168860,292,1893,OCaml,0,0.0
296,ish-app/ish,https://github.com/ish-app/ish.git,13996,4759,46,658,C,0,0.0
297,containerd/containerd,https://github.com/containerd/containerd.git,13993,97304,529,2319,Go,0,0.0
